,NTAName,LI - Not Losing Low Income Households,MHI - At Risk of Exclusion,MHI - Not Losing Low Income Households,LI - At Risk of Gentrification and/or Displacement,MHI - Advanced Exclusion,MHI - Advanced Gentrification,MHI - Ongoing Exclusion,LI - Ongoing Gentrification and/or Displacement,total
0,Airport,0.5,0.14285714285700002,0.357142857143,0.0,0.0,0.0,0.0,0.0,14.0
1,Allerton-Pelham Gardens,0.130434782609,0.0,0.391304347826,0.0434782608696,0.260869565217,0.08695652173910001,0.08695652173910001,0.0,23.0
2,Annadale-Huguenot-Prince's Bay-Eltingville,0.210526315789,0.0,0.526315789474,0.0,0.263157894737,0.0,0.0,0.0,19.0
3,Arden Heights,0.111111111111,0.0,0.777777777778,0.0,0.111111111111,0.0,0.0,0.0,9.0
4,Astoria,0.07142857142860001,0.0238095238095,0.0952380952381,0.07142857142860001,0.047619047619,0.309523809524,0.0,0.380952380952,42.0
5,Auburndale,0.166666666667,0.08333333333330001,0.29166666666700003,0.0416666666667,0.29166666666700003,0.0,0.125,0.0,24.0
6,Baisley Park,0.269230769231,0.0384615384615,0.23076923076900002,0.0,0.115384615385,0.192307692308,0.0769230769231,0.0769230769231,26.0
7,Bath Beach,0.181818181818,0.13636363636399998,0.0909090909091,0.0909090909091,0.0909090909091,0.13636363636399998,0.0454545454545,0.227272727273,22.0
8,Battery Park City-Lower Manhattan,0.0,0.125,0.125,0.0,0.625,0.0625,0.0,0.0625,16.0
9,Bay Ridge,0.153846153846,0.179487179487,0.153846153846,0.0512820512821,0.205128205128,0.0769230769231,0.025641025641,0.153846153846,39.0
10,Bayside-Bayside Hills,0.121212121212,0.0606060606061,0.30303030303,0.0,0.424242424242,0.0,0.0909090909091,0.0,33.0
11,Bedford,0.157894736842,0.0,0.0,0.210526315789,0.052631578947400004,0.23684210526299998,0.0,0.34210526315800005,38.0
12,Bedford Park-Fordham North,0.0454545454545,0.0909090909091,0.0,0.45454545454499995,0.0454545454545,0.0909090909091,0.0454545454545,0.227272727273,22.0
13,Bellerose,0.0625,0.0625,0.4375,0.125,0.25,0.0,0.0625,0.0,16.0
14,Belmont,0.14285714285700002,0.0,0.07142857142860001,0.5,0.0,0.0,0.0,0.28571428571400004,14.0
15,Bensonhurst East,0.263157894737,0.0,0.026315789473700002,0.289473684211,0.026315789473700002,0.026315789473700002,0.026315789473700002,0.34210526315800005,38.0
16,Bensonhurst West,0.26,0.08,0.0,0.24,0.06,0.1,0.02,0.24,50.0
17,Borough Park,0.254901960784,0.0,0.019607843137299998,0.372549019608,0.0392156862745,0.019607843137299998,0.0,0.294117647059,51.0
18,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,0.0,0.0769230769231,0.38461538461499994,0.0769230769231,0.153846153846,0.0,0.0769230769231,0.23076923076900002,13.0
19,Briarwood-Jamaica Hills,0.227272727273,0.0,0.272727272727,0.272727272727,0.0909090909091,0.0454545454545,0.0909090909091,0.0,22.0
20,Brighton Beach,0.42105263157899997,0.0,0.105263157895,0.105263157895,0.105263157895,0.0,0.052631578947400004,0.210526315789,19.0
21,Bronxdale,0.1875,0.0,0.1875,0.1875,0.125,0.125,0.0625,0.125,16.0
22,Brooklyn Heights-Cobble Hill,0.0,0.28571428571400004,0.0,0.0,0.5714285714289999,0.07142857142860001,0.07142857142860001,0.0,14.0
23,Brownsville,0.444444444444,0.0,0.0,0.37037037037,0.0,0.0,0.0,0.185185185185,27.0
24,Bushwick North,0.0333333333333,0.0,0.0,0.166666666667,0.0,0.133333333333,0.0,0.666666666667,30.0
25,Bushwick South,0.108695652174,0.0,0.0217391304348,0.15217391304300001,0.0,0.15217391304300001,0.0,0.5652173913040001,46.0
26,Cambria Heights,0.037037037037,0.111111111111,0.592592592593,0.0,0.148148148148,0.0,0.111111111111,0.0,27.0
27,Canarsie,0.17391304347800002,0.0434782608696,0.478260869565,0.0,0.0652173913043,0.130434782609,0.08695652173910001,0.0217391304348,46.0
28,Carroll Gardens-Columbia Street-Red Hook,0.1,0.05,0.05,0.0,0.5,0.1,0.2,0.0,20.0
29,Central Harlem North-Polo Grounds,0.111111111111,0.0,0.07407407407410001,0.222222222222,0.0,0.0,0.0,0.592592592593,27.0
30,Central Harlem South,0.13636363636399998,0.0,0.0454545454545,0.13636363636399998,0.0,0.0,0.0,0.6818181818179999,22.0
31,Charleston-Richmond Valley-Tottenville,0.375,0.0,0.25,0.0,0.375,0.0,0.0,0.0,8.0
32,Chinatown,0.0555555555556,0.0,0.0,0.111111111111,0.111111111111,0.0,0.0,0.722222222222,18.0
33,Claremont-Bathgate,0.166666666667,0.0,0.08333333333330001,0.458333333333,0.0,0.0,0.0,0.29166666666700003,24.0
34,Clinton,0.0,0.117647058824,0.0588235294118,0.0588235294118,0.176470588235,0.294117647059,0.0,0.294117647059,17.0
35,Clinton Hill,0.0,0.08,0.0,0.16,0.2,0.44,0.0,0.12,25.0
36,College Point,0.3,0.1,0.1,0.1,0.1,0.0,0.1,0.2,10.0
37,Co-op City,0.0,0.0,0.0909090909091,0.0,0.636363636364,0.0,0.0909090909091,0.181818181818,11.0
38,Corona,0.44,0.0,0.04,0.36,0.0,0.0,0.0,0.16,25.0
39,Crotona Park East,0.28571428571400004,0.0,0.047619047619,0.380952380952,0.0,0.047619047619,0.0,0.23809523809500002,21.0
40,Crown Heights North,0.0961538461538,0.0192307692308,0.0,0.211538461538,0.05769230769230001,0.192307692308,0.0,0.423076923077,52.0
